control_id,property_id,is_key,section,local_description
3,78,0,"Additional properties","Video control only.  URL of closed captions file in WebVTT format.  Both video and captions URLs must be HTTPS. Server hosting both video and captions file needs to be CORS enabled."
3,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
3,26,0,"Additional properties","The background color of a control."
3,27,0,"Additional properties","The color of a control's border when the control is focused."
3,28,0,"Additional properties","The thickness of a control's border when the control is focused."
3,42,0,"Additional properties","The distance between a control's top and bottom edges."
3,56,0,"Additional properties","The name of the image that appears in an image, audio, or microphone control."
3,57,0,"Additional properties","The position (Fill, Fit, Stretch, Tile, or Center) of an image in a screen or a control if it isn't the same size as the image."
3,79,0,"Additional properties","Actions to perform when an audio or video clip finishes playing."
3,80,0,"Additional properties","Actions to perform when the user pauses the clip that an audio or video control is playing."
3,81,0,"Additional properties","Actions to perform when the user starts to record with a microphone control."
3,82,0,"Additional properties","True if a media playback control is currently paused, false otherwise."
3,7,0,"Additional properties","Whether a control reverts to its default value."
3,83,0,"Additional properties","Whether an audio or video clip plays."
3,84,0,"Additional properties","The time after the start of an audio or video clip when the clip starts to play."
3,85,0,"Additional properties","A media control's current position."
3,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
3,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
3,11,0,"Additional properties","Whether a control appears or is hidden."
3,44,0,"Additional properties","The distance between a control's left and right edges."
3,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
3,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
4,86,1,"Key properties","Output property that contains a table of the barcodes scanned with two columns: Value, and Type. Value is the text value of the code that was scanned, while Type is the type of the code that was scanned."
4,87,1,"Key properties","Actions to perform when a barcode is successfully scanned."
4,88,1,"Key properties","Actions to perform when a barcode scan is canceled by the user."
4,5,1,"Key properties","Actions to perform when a property on the barcode reader control is changed, including output properties."
4,89,1,"Key properties","The barcode type to scan. You can target multiple barcode types by concatenating them. Ex. `'Microsoft.BarcodeReader.BarcodeType'.Code128 & 'Microsoft.BarcodeReader.BarcodeType'.Code39`.  Default: Auto"
4,90,1,"Key properties","Whether to `Automatically scan` the first barcode detected in view, to allow the user to `Select to scan` which of the barcodes in view to scan, or to `Scan multiple` barcodes in a single session. On Windows, the barcode reader will always `Automatically scan`."
4,91,1,"Key properties","The image quality the barcode reader scans at. A higher quality is good for small barcodes, but could lead to slow performance. On Windows, the barcode reader will always scan at the device's camera quality. Default: Automatic."
4,92,1,"Key properties","If enabled the barcode reader will default to using the front facing camera instead of the rear facing camera."
4,93,1,"Key properties","If enabled, the barcode reader will play a beep noise when a barcode is scanned."
4,94,1,"Key properties","If enabled, the barcode reader will vibrate when a barcode is scanned."
4,8,0,"Additional properties","Text that appears on the button that activates the scanner."
4,21,0,"Additional properties","The color of a control's border."
4,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
4,23,0,"Additional properties","The thickness of a control's border."
4,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
4,42,0,"Additional properties","The height of the button that activates the scanner."
4,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
4,11,0,"Additional properties","Whether a control appears or is hidden."
4,44,0,"Additional properties","The width of the button that activates the scanner."
4,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen, if no parent container)."
4,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen, if no parent container)."
5,89,1,"Key properties","The barcode type to scan. Supported types: Codabar, Code39, Code128, EAN, I2of5, UPC. Default: UPC"
5,95,1,"Key properties","On a device that has more than one camera, the numeric ID of the camera that the app uses for scanning barcodes."
5,63,0,"Additional properties","Label for screen readers."
5,21,0,"Additional properties","The color of a control's border."
5,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
5,23,0,"Additional properties","The thickness of a control's border."
5,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
5,42,0,"Additional properties","The distance between a control's top and bottom edges."
5,96,0,"Additional properties","Whether visual cues are shown to indicate the status of barcode detection. Yellow rectangles represent areas that are being examined. A green line across a rectangle indicates successful barcode identification."
5,97,0,"Additional properties","Automatically updated image based on the StreamRate property."
5,98,0,"Additional properties","How often to update the image on the Stream property, in milliseconds.  This value can range from 100 (1/10th of a second) to 3,600,000 (1 hour)."
5,8,0,"Additional properties","Value of barcode that was last identified by the scanner."
5,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
5,11,0,"Additional properties","Whether a control appears or is hidden."
5,44,0,"Additional properties","The distance between a control's left and right edges."
5,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen, if no parent container)."
5,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen, if no parent container)."
6,6,1,"Key properties","Actions to perform when the user taps or clicks a control."
6,8,1,"Key properties","Text that appears on a control or that the user types into a control."
6,18,0,"Additional properties","The location of text in relation to the horizontal center of its control."
6,99,0,"Additional properties","Automatically disables the control while the OnSelect behavior is running."
6,21,0,"Additional properties","The color of a control's border."
6,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
6,23,0,"Additional properties","The thickness of a control's border."
6,24,0,"Additional properties","The color of text in a control."
6,100,0,"Additional properties","The language of the control's content, if different from the control's container."
6,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
6,29,0,"Additional properties","The color of a control's border if the control's DisplayMode property is set to Disabled."
6,30,0,"Additional properties","The color of text in a control if its DisplayMode property is set to Disabled."
6,31,0,"Additional properties","The background color of a control if its DisplayMode property is set to Disabled."
6,27,0,"Additional properties","The color of a control's border when the control is focused."
6,28,0,"Additional properties","The thickness of a control's border when the control is focused."
6,26,0,"Additional properties","The background color of a control."
6,12,0,"Additional properties","The name of the family of fonts in which text appears."
6,13,0,"Additional properties","The weight of the text in a control: Bold, Semibold, Normal, or Lighter."
6,42,0,"Additional properties","The distance between a control's top and bottom edges."
6,32,0,"Additional properties","The color of a control's border when the user keeps the mouse pointer on that control."
6,33,0,"Additional properties","The color of the text in a control when the user keeps the mouse pointer on it."
6,34,0,"Additional properties","The background color of a control when the user keeps the mouse pointer on it."
6,14,0,"Additional properties","Whether the text in a control is italic."
6,47,0,"Additional properties","The distance between text in a control and the bottom edge of that control."
6,48,0,"Additional properties","The distance between text in a control and the left edge of that control."
6,49,0,"Additional properties","The distance between text in a control and the right edge of that control."
6,50,0,"Additional properties","The distance between text in a control and the top edge of that control."
6,101,0,"Additional properties","True while a control is being pressed, false otherwise."
6,35,0,"Additional properties","The color of a control's border when the user taps or clicks that control."
6,36,0,"Additional properties","The color of text in a control when the user taps or clicks that control."
6,37,0,"Additional properties","The background color of a control when the user taps or clicks that control."
6,51,0,"Additional properties","The degree to which the bottom-left corner of a control is rounded."
6,52,0,"Additional properties","The degree to which the bottom-right corner of a control is rounded."
6,53,0,"Additional properties","The degree to which the top-left corner of a control is rounded."
6,54,0,"Additional properties","The degree to which the top-right corner of a control is rounded."
6,15,0,"Additional properties","The font size of the text that appears on a control."
6,16,0,"Additional properties","Whether a line appears through the text that appears on a control."
6,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
6,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
6,17,0,"Additional properties","Whether a line appears under the text that appears on a control."
6,20,0,"Additional properties","The location of text on a control in relation to the vertical center of that control."
6,11,0,"Additional properties","Whether a control appears or is hidden."
6,44,0,"Additional properties","The distance between a control's left and right edges."
6,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
6,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
7,102,1,"Key properties","Table of the available cameras on the device."
7,95,1,"Key properties","The numeric ID of the camera to use.  Helpful on devices with more than one camera."
7,103,1,"Key properties","Actions to perform when the Stream property is updated."
7,104,1,"Key properties","The image captured when the user takes a picture."
7,97,1,"Key properties","Automatically updated image based on the StreamRate property."
7,98,1,"Key properties","How often to update the image on the Stream property, in milliseconds. This value can range from 100 (1/10th of a second) to 3,600,000 (1 hour)."
7,105,0,"Additional properties","How much light the user is likely to perceive in an image."
7,106,0,"Additional properties","How easily the user can distinguish between similar colors in an image."
8,107,1,"Key properties","The name of the field within a record that this card displays and edits."
8,1,1,"Key properties","The initial value of a control before it is changed by the user."
8,3,1,"Key properties","Values can be Edit, View, or Disabled. Configures whether the control inside the card allows user input (Edit), only displays data (View) or is disabled (Disabled)."
8,108,1,"Key properties","The user friendly name for a field in a data source."
8,109,1,"Key properties","The user friendly error message to display for this field when validation fails."
8,110,1,"Key properties","Whether a card, editing the field of a data source, must contain a value."
8,111,1,"Key properties","The value to write back to the data source for a field."
8,44,1,"Key properties","The distance between a control's left and right edges."
8,45,1,"Key properties","Whether a control automatically grows horizontally to fill any empty space in a container control such as an Edit form control. If multiple cards have this property set to true, the space is divided between them. For more information, see Understand data form layout."
8,21,0,"Additional properties","The color of a control's border."
8,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
8,23,0,"Additional properties","The thickness of a control's border."
8,26,0,"Additional properties","The background color of a control."
8,42,0,"Additional properties","The distance between a control's top and bottom edges."
8,112,0,"Additional properties","Whether a Card or Edit form control contains valid entries, ready to be submitted to the data source."
8,11,0,"Additional properties","Whether a control appears or is hidden."
8,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container). For a Card control in a container that has multiple columns, this property determines the column in which the card appears."
8,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container). For a Card control in a container that has multiple rows, this property determines the row in which the card appears."
9,1,1,"Key properties","The initial value of a control before it is changed by the user."
9,8,1,"Key properties","Text that appears on a control or that the user types into a control."
9,10,1,"Key properties","The value of an input control."
9,21,0,"Additional properties","The color of a control's border."
9,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
9,23,0,"Additional properties","The thickness of a control's border."
9,113,0,"Additional properties","The background color of the box that surrounds the checkmark in a checkbox control."
9,114,0,"Additional properties","The color of the border that surrounds the checkmark in a checkbox control."
9,115,0,"Additional properties","The width and height of the box that surrounds the checkmark in a checkbox control."
9,116,0,"Additional properties","The color of the checkmark in a checkbox control."
9,24,0,"Additional properties","The color of text in a control."
9,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
9,29,0,"Additional properties","The color of a control's border if the control's DisplayMode property is set to Disabled."
9,30,0,"Additional properties","The color of text in a control if its DisplayMode property is set to Disabled."
9,31,0,"Additional properties","The background color of a control if its DisplayMode property is set to Disabled."
9,26,0,"Additional properties","The background color of a control."
9,27,0,"Additional properties","The color of a control's border when the control is focused."
9,28,0,"Additional properties","The thickness of a control's border when the control is focused."
9,12,0,"Additional properties","The name of the family of fonts in which text appears."
9,13,0,"Additional properties","The weight of the text in a control: Bold, Semibold, Normal, or Lighter."
9,42,0,"Additional properties","The distance between a control's top and bottom edges."
9,32,0,"Additional properties","The color of a control's border when the user keeps the mouse pointer on that control."
9,33,0,"Additional properties","The color of the text in a control when the user keeps the mouse pointer on it."
9,34,0,"Additional properties","The background color of a control when the user keeps the mouse pointer on it."
9,14,0,"Additional properties","Whether the text in a control is italic."
9,117,0,"Additional properties","Actions to perform when the value of a checkbox or a toggle changes to true."
9,6,0,"Additional properties","Actions to perform when the user taps or clicks a control."
9,118,0,"Additional properties","Actions to perform when the value of a checkbox or a toggle changes to false."
9,47,0,"Additional properties","The distance between text in a control and the bottom edge of that control."
9,48,0,"Additional properties","The distance between text in a control and the left edge of that control."
9,49,0,"Additional properties","The distance between text in a control and the right edge of that control."
9,50,0,"Additional properties","The distance between text in a control and the top edge of that control."
9,35,0,"Additional properties","The color of a control's border when the user taps or clicks that control."
9,36,0,"Additional properties","The color of text in a control when the user taps or clicks that control."
9,37,0,"Additional properties","The background color of a control when the user taps or clicks that control."
9,7,0,"Additional properties","Whether a control reverts to its default value."
9,15,0,"Additional properties","The font size of the text that appears on a control."
9,16,0,"Additional properties","Whether a line appears through the text that appears on a control."
9,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
9,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
9,17,0,"Additional properties","Whether a line appears under the text that appears on a control."
9,20,0,"Additional properties","The location of text on a control in relation to the vertical center of that control."
9,11,0,"Additional properties","Whether a control appears or is hidden."
9,44,0,"Additional properties","The distance between a control's left and right edges."
9,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
9,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
12,4,1,"Key properties","The source of data from which selections can be made."
12,119,1,"Key properties","The initial selected item(s) before the user interacts with the control."
12,120,1,"Key properties","List of selected items resulting from user interaction."
12,121,1,"Key properties","The last selected item resulting from user interaction."
12,122,1,"Key properties","Whether the user can select a single item or multiple items."
12,123,1,"Key properties","Whether the user can search for items before selecting."
12,124,1,"Key properties","The data fields of the data source searched when user is entering text."
12,63,0,"Additional properties","Label for screen readers."
12,21,0,"Additional properties","The color of a control's border."
12,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
12,23,0,"Additional properties","The thickness of a control's border."
12,125,0,"Additional properties","List of fields shown for each item returned by the search.  Easiest to configure via the Data pane in the Properties option tab."
12,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
12,27,0,"Additional properties","The color of a control's border when the control is focused."
12,28,0,"Additional properties","The thickness of a control's border when the control is focused."
12,42,0,"Additional properties","The distance between a control's top and bottom edges."
12,126,0,"Additional properties","Instructional text shown to end users when no items are selected."
12,5,0,"Additional properties","Actions to perform when the user changes a selection."
12,127,0,"Additional properties","Actions to perform when the user selects an item."
12,6,0,"Additional properties","Actions to perform when the user taps or selects a control."
12,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
12,11,0,"Additional properties","Whether a control appears or is hidden."
12,44,0,"Additional properties","The distance between a control's left and right edges."
12,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
12,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
15,128,1,"Key properties","The initial value of a date control unless the user changes it."
15,129,1,"Key properties","The date currently selected in a date control.  This date is represented in local time."
15,130,1,"Key properties","The text format in which the control shows the date and the user specifies the date. You can set this property to ShortDate (default) or LongDate to format dates based on the Language property of this control. You can also set this property to an expression, such as yyyy/mm/dd if you want the same format regardless of language. For example:"
15,131,1,"Key properties","Determines the language that's used to format dates, including names of months. If this property isn't specified, the user's device setting determines the language. Supported values include ""EN-us"" and ""FR""."
15,63,0,"Additional properties","Label for screen readers."
15,21,0,"Additional properties","The color of a control's border."
15,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
15,23,0,"Additional properties","The thickness of a control's border."
15,24,0,"Additional properties","The color of text in a control."
15,132,0,"Additional properties","Whether to display the date in UTC or the user's Local time."
15,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
15,29,0,"Additional properties","The color of a control's border if the control's DisplayMode property is set to Disabled."
15,30,0,"Additional properties","The color of text in a control if its DisplayMode property is set to Disabled."
15,31,0,"Additional properties","The background color of a control if its DisplayMode property is set to Disabled."
15,133,0,"Additional properties","The latest year to which the user can set value of a date-picker control."
15,26,0,"Additional properties","The background color of a control."
15,27,0,"Additional properties","The color of a control's border when the control is focused."
15,28,0,"Additional properties","The thickness of a control's border when the control is focused."
15,12,0,"Additional properties","The name of the family of fonts in which text appears."
15,13,0,"Additional properties","The weight of the text in a control: Bold, Semibold, Normal, or Lighter."
15,42,0,"Additional properties","The distance between a control's top and bottom edges."
15,134,0,"Additional properties","The foreground color of a the date picker icon."
15,135,0,"Additional properties","The background color of a the date picker icon."
15,126,0,"Additional properties","Instructional text that appears if no dates are entered."
15,136,0,"Additional properties","Whether the Date Picker text can be edited. If false, the date can only be changed by using the calendar."
15,14,0,"Additional properties","Whether the text in a control is italic."
15,6,0,"Additional properties","Actions to perform when the user taps or clicks a control."
15,5,0,"Additional properties","Actions to perform when the user changes the value of a control."
15,47,0,"Additional properties","The distance between text in a control and the bottom edge of that control."
15,48,0,"Additional properties","The distance between text in a control and the left edge of that control."
15,49,0,"Additional properties","The distance between text in a control and the right edge of that control."
15,50,0,"Additional properties","The distance between text in a control and the top edge of that control."
15,7,0,"Additional properties","Whether the Date Picker control should be reset to the DefaultDate value."
15,15,0,"Additional properties","The font size of the text that appears on a control."
15,137,0,"Additional properties","The day of the week to display in the first day column of the date-picker control."
15,138,0,"Additional properties","The earliest year to which the user can set the value of a date-picker control."
15,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
15,11,0,"Additional properties","Whether a control appears or is hidden."
15,44,0,"Additional properties","The distance between a control's left and right edges."
15,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
15,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
16,1,1,"Key properties","The initial value of a control before the user specifies a different value."
16,4,1,"Key properties","The source of data that contains the items that appear in the control. If the source has multiple columns, set the control's Value property to the column of data that you want to show."
16,10,1,"Key properties","The column of data that you want to show in the control (for example, if a data source has multiple columns)."
16,121,1,"Key properties","The data record that represents the selected item."
16,139,1,"Key properties","Whether the control can have no selected items. When false, there will always be a selected item, which will initially be the Default or the first item."
16,63,0,"Additional properties","Label for screen readers."
16,21,0,"Additional properties","The color of a control's border."
16,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
16,23,0,"Additional properties","The thickness of a control's border."
16,140,0,"Additional properties","The color behind the down arrow in a dropdown list."
16,141,0,"Additional properties","The color of the down arrow in a dropdown list."
16,24,0,"Additional properties","The color of text in a control."
16,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
16,29,0,"Additional properties","The color of a control's border if the control's DisplayMode property is set to Disabled."
16,30,0,"Additional properties","The color of text in a control if its DisplayMode property is set to Disabled."
16,31,0,"Additional properties","The background color of a control if its DisplayMode property is set to Disabled."
16,26,0,"Additional properties","The background color of a control."
16,27,0,"Additional properties","The color of a control's border when the control is focused."
16,28,0,"Additional properties","The thickness of a control's border when the control is focused."
16,12,0,"Additional properties","The name of the family of fonts in which text appears."
16,13,0,"Additional properties","The weight of the text in a control: Bold, Semibold, Normal, or Lighter."
16,42,0,"Additional properties","The distance between a control's top and bottom edges."
16,32,0,"Additional properties","The color of a control's border when the user keeps the mouse pointer on that control."
16,33,0,"Additional properties","The color of the text in a control when the user keeps the mouse pointer on it."
16,34,0,"Additional properties","The background color of a control when the user keeps the mouse pointer on it."
16,14,0,"Additional properties","Whether the text in a control is italic."
16,5,0,"Additional properties","Actions to perform when the user changes the value of a control (for example, by adjusting a slider)."
16,6,0,"Additional properties","Actions to perform when the user selects a control."
16,47,0,"Additional properties","The distance between text in a control and the bottom edge of that control."
16,48,0,"Additional properties","The distance between text in a control and the left edge of that control."
16,49,0,"Additional properties","The distance between text in a control and the right edge of that control."
16,50,0,"Additional properties","The distance between text in a control and the top edge of that control."
16,35,0,"Additional properties","The color of a control's border when the user selects that control."
16,36,0,"Additional properties","The color of text in a control when the user selects that control."
16,37,0,"Additional properties","The background color of a control when the user selects that control."
16,7,0,"Additional properties","Whether a control reverts to its default value."
16,142,0,"Additional properties","A string value that represents the selected item. Use Dropdown1.SelectedText.Value instead, replacing ""Dropdown1"" with drop-down control name in the app."
16,38,0,"Additional properties","The text color of a selected item or items in a list or the color of the selection tool in a pen control."
16,39,0,"Additional properties","The background color of a selected item or items in a list or a selected area of a pen control."
16,15,0,"Additional properties","The font size of the text that appears on a control."
16,16,0,"Additional properties","Whether a line appears through the text that appears on a control."
16,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
16,9,0,"Additional properties","Explanatory text that appears when the user hovers over a control."
16,17,0,"Additional properties","Whether a line appears under the text that appears on a control."
16,11,0,"Additional properties","Whether a control appears or is hidden."
16,44,0,"Additional properties","The distance between a control's left and right edges."
16,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
16,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
17,143,1,"Key properties","The name of a collection that you want to export to a local file."
17,6,1,"Key properties","Actions to perform when the user taps or clicks a control."
17,18,0,"Additional properties","The location of text in relation to the horizontal center of its control."
17,21,0,"Additional properties","The color of a control's border."
17,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
17,23,0,"Additional properties","The thickness of a control's border."
17,24,0,"Additional properties","The color of text in a control."
17,3,0,"Additional properties","Whether the control allows user input (Edit), only displays data (View), or is disabled (Disabled)."
17,29,0,"Additional properties","The color of a control's border if the control's DisplayMode property is set to Disabled."
17,30,0,"Additional properties","The color of text in a control if its DisplayMode property is set to Disabled."
17,31,0,"Additional properties","The background color of a control if its DisplayMode property is set to Disabled."
17,26,0,"Additional properties","The background color of a control."
17,27,0,"Additional properties","The color of a control's border when the control is focused."
17,28,0,"Additional properties","The thickness of a control's border when the control is focused."
17,12,0,"Additional properties","The name of the family of fonts in which text appears."
17,13,0,"Additional properties","The weight of the text in a control: Bold, Semibold, Normal, or Lighter."
17,42,0,"Additional properties","The distance between a control's top and bottom edges."
17,32,0,"Additional properties","The color of a control's border when the user keeps the mouse pointer on that control."
17,33,0,"Additional properties","The color of the text in a control when the user keeps the mouse pointer on it."
17,34,0,"Additional properties","The background color of a control when the user keeps the mouse pointer on it."
17,14,0,"Additional properties","Whether the text in a control is italic."
17,46,0,"Additional properties","The distance between the text on an import or export button and the edges of that button."
17,35,0,"Additional properties","The color of a control's border when the user taps or clicks that control."
17,36,0,"Additional properties","The color of text in a control when the user taps or clicks that control."
17,37,0,"Additional properties","The background color of a control when the user taps or clicks that control."
17,51,0,"Additional properties","The degree to which the bottom-left corner of a control is rounded."
17,52,0,"Additional properties","The degree to which the bottom-right corner of a control is rounded."
17,53,0,"Additional properties","The degree to which the top-left corner of a control is rounded."
17,54,0,"Additional properties","The degree to which the top-right corner of a control is rounded."
17,15,0,"Additional properties","The font size of the text that appears on a control."
17,16,0,"Additional properties","Whether a line appears through the text that appears on a control."
17,72,0,"Additional properties","Keyboard navigation order in relation to other controls."
17,8,0,"Additional properties","Text that appears on a control or that the user types into a control."
17,17,0,"Additional properties","Whether a line appears under the text that appears on a control."
17,20,0,"Additional properties","The location of text on a control in relation to the vertical center of that control."
17,11,0,"Additional properties","Whether a control appears or is hidden."
17,44,0,"Additional properties","The distance between a control's left and right edges."
17,40,0,"Additional properties","The distance between the left edge of a control and the left edge of its parent container (screen if no parent container)."
17,41,0,"Additional properties","The distance between the top edge of a control and the top edge of the parent container (screen if no parent container)."
18,144,1,"Key properties","The data source that contains the record that the user will show, edit, or create."
18,145,1,"Key properties","The initial mode of the form control.  See the description of Mode below for the acceptable values and their meanings."
18,3,1,"Key properties","The mode to use for data cards and controls within the form control."
18,109,1,"Key properties","A user friendly error message to display for this form when the SubmitForm function fails."
18,146,1,"Key properties","If an error occurs when SubmitForm runs, the kind of error that occurred."
18,147,1,"Key properties","The record in the DataSource that the user will show or edit."
18,148,1,"Key properties","The last successfully submitted record, including any server generated fields."
18,149,1,"Key properties","The control is in Edit or New mode."
18,150,1,"Key properties","Actions to perform when a data operation has been unsuccessful."
18,151,1,"Key properties","Actions to perform when an Edit form control is reset."
18,152,1,"Key properties","Actions to perform when a data operation has been successful."
18,153,1,"Key properties","True if the Edit form control contains user changes that have not been saved."
18,154,1,"Key properties","The values to write back to the data source for a record loaded in a form control."
18,112,1,"Key properties","Whether a Card or Edit form control contains valid entries, ready to be submitted to the data source."
18,21,0,"Additional properties","The color of a control's border."
18,22,0,"Additional properties","Whether a control's border is Solid, Dashed, Dotted, or None."
